Complexity,Loss,Equation
1,0.00027419862,"0.983393"
3,0.00017800483,"(0.96843994 ^ x0)"
5,9.821835e-5,"((0.9879126 ^ x0) ^ x2)"
7,5.8107235e-5,"(((x1 ^ 0.0023887756) ^ x0) ^ x2)"
8,2.9560912e-5,"((0.9855171 ^ (x0 / exp(x1))) ^ x2)"
9,1.0866452e-5,"(((0.9840568 ^ x0) ^ (0.03751124 ^ x1)) ^ x2)"
10,9.326094e-6,"((0.9840568 ^ (x2 / exp(x1 * x2))) ^ x0)"
11,6.1612686e-6,"(((0.9864653 ^ (x2 + 0.6051481)) ^ x0) ^ (0.038330406 ^ x1))"
13,3.6224499e-6,"(((0.9864653 ^ (x2 ^ 0.62046635)) ^ x0) ^ ((0.038330406 ^ x1) / 0.51937234))"
14,2.8370866e-6,"((0.98791337 ^ ((exp(0.70017034 ^ x2) * x2) * x0)) ^ (0.038330406 ^ x1))"
15,1.6964406e-6,"(((0.9864653 ^ (x2 ^ 0.62046635)) ^ x0) ^ ((0.08366279 ^ (x1 / x0)) / 0.51937234))"
16,9.326077e-7,"(((0.9879126 ^ (exp(0.70017034 ^ x2) * x2)) ^ (0.08420055 ^ (x1 / x0))) ^ x0)"
18,7.508387e-7,"(((0.9879126 ^ (exp(0.70017034 ^ (1.4010776 ^ x2)) * x2)) ^ x0) ^ (0.08420055 ^ (x1 / x0)))"
20,6.8312085e-7,"(((0.9879126 ^ (exp(0.70017034 ^ (1.4010776 ^ x2)) * x2)) ^ (x0 ^ 0.97236395)) ^ (0.08420055 ^ (x1 / x0)))"
